title,date,jobId,location,description,url,scraped_at,page_number,Contractor
"Technical Product Support Specialist - A/V & Event Specialist :: Ocoee, FL (Onsite)",08/27/2025,25-04732,"Ocoee, FL","Technical Product Support Specialist - A/V & Event Specialist    Location: Ocoee, FL    Duration: 9 months, Onsite    Position Summary:    Join our team to support audio visual technology in an enterprise environment. You will provide both in-person and remote technical support, ensuring top-tier service with clear communication. Responsibilities include asset tracking, installation, configura...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210129,1,ARK Solutions Inc.
"Project Supervisor - Washington, DC (Onsite)",08/27/2025,25-04731,"Washington, DC","Project Supervisor - Washington, DC    Duration: 24+ months, Onsite    Project Description:      	Litigation support for the client, involving significant writing and possibly legal research.  	Analytical skills, attention to detail, and excellent writing ability are crucial.      Day-to-day Responsibilities:      	Work under the direction of the Project Manager.  	Responsible for major task areas...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210133,1,ARK Solutions Inc.
"Supervisory Paralegal - Washington, DC (Onsite)",08/27/2025,25-04730,"Washington, DC","Supervisory Paralegal - Washington, DC    Duration: 24+ months, Onsite    Project Description:    Engage in litigation support, focusing on significant writing and legal research. Strong analytical skills and attention to detail are essential.    Responsibilities:      	Supervise paralegals and support staff on major projects.  	Ensure work meets contract and attorney requirements and is delivered...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210134,1,ARK Solutions Inc.
"PeopleSoft Functional/Technical Consultant :: Harrisburg, PA (Remote/Hybrid)",08/26/2025,25-04729,"Harrisburg, PA","PeopleSoft Functional/Technical Consultant    Location: Harrisburg, PA (Remote/Hybrid)    Duration: 10+ months    We are looking for a talented Functional/Technical Consultant to join our team and work with the PeopleSoft Development and Human Resources teams. The primary focus will be on implementing the Absence Management module and integrating it with the existing Payroll system.    Requirement...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210135,1,ARK Solutions Inc.
"Sr Oracle OCI Services and Solutions Architect :: Richmond, VA (Onsite/Hybrid)",08/26/2025,25-04728,"Richmond, VA","Sr Oracle OCI Services and Solutions Architect    Duration: 10 months | Location: Richmond, VA | Onsite/Hybrid    About The Role:    Join our team to assist with the design, review, and implementation of Oracle OCI services and solution offerings. You will work with customer agencies, managed cloud suppliers, and internal teams to ensure efficient, effective, secure, and compliant solutions based ...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210136,1,ARK Solutions Inc.
"Service Support Specialist :: Raleigh, NC (Onsite)",08/26/2025,25-04725,"Raleigh, NC","Service Support Specialist    Location: Raleigh, NC    Duration: 10+ months (Onsite)    Job Summary:    Join our dynamic 24×7x365 Service Desk team as a Service Support Analyst. You'll provide advanced technical support and consultation to users across state agencies, universities, and private citizens. Utilize your strong customer service orientation and advanced troubleshooting skills ...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210137,1,ARK Solutions Inc.
"Senior AWS Developer :: Raleigh, NC (Hybrid)",08/26/2025,25-04723,"Raleigh, NC","Senior AWS Developer    Location: Raleigh, NC    Duration: 12 months (Hybrid)    Job Summary:    We are looking for a Senior AWS Developer and this role involves collaboration with data modernization teams to design, implement, and manage AWS solutions that meet technical and business objectives.    Must-Have Skills and Experience:      	Proficient in using various AWS services for building enterp...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210137,1,ARK Solutions Inc.
"Project Coordinator :: Atlanta, GA (Hybrid)",08/26/2025,25-04722,"Atlanta, GA","Project Coordinator - 9 Month Contract    Location: Hybrid, Atlanta, GA    Job Summary:    We are looking for a project coordinator to support the Human Resource Administration program and related technology initiatives. This role involves ensuring projects progress smoothly through all phases of the project life cycle.    Job Responsibilities:      	Plan and organize cross-functional IT tasks to ...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210138,1,ARK Solutions Inc.
"IT Architect :: Atlanta, GA (Hybrid)",08/26/2025,25-04721,"Atlanta, GA","IT Architect    Location: Atlanta, GA (Hybrid)    Duration: 9+ months    Job Summary:    Lead and supervise a team of IT professionals in developing and implementing technology solutions. Coordinate communication between users, third-party vendors, and programmers. Manage project schedules and ensure timely completion of assignments. Participate in all aspects of software development, systems desi...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210139,1,ARK Solutions Inc.
"Network/Telecom Specialist (NG911 Administrative Specialist) :: Raleigh, NC (Onsite)",08/25/2025,25-04715,"Raleigh, NC","Network/Telecom Specialist (NG911 Administrative Specialist)    Location: Raleigh, NC    Duration: 3 months, Onsite    Seeking a specialist to assist Tier I/II network technicians in monitoring the AT&T Esinet. This role involves incident response, ticket narration, document management, and communication with both internal and external stakeholders. Additionally, the position supports leadersh...",https://www2.jobdiva.com/portal/?a=hdjdnwt3oqdy1dsj4sou8i7vyoimqj03bekdzg89i3qyi2p5pohpfah42mexnfsd&compid=0#/,2025-08-27T15:30:06.210140,1,ARK Solutions Inc.
