title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Mail & Print Services Associate,$17.69/hour,08/27/2025,25-10486,"Candidates who receive an offer will be required to successfully complete a background check and drug test as a condition of employment.      Mail & Print Services Associate   Baton Rouge​, LA, 70813   2 months   M-F 9:00 AM - 6:00 PM  Job Description    Overview:   We are seeking a detail-oriented and customer-focused professional to join our team. This role involves shipping and mail proce...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378230,1,Metasys Technologies Inc
Special Projects Manager,$43-48/hour,08/27/2025,25-10483,"Special Projects Manager     Job Location: Boston, MA (hybrid work model with in-office presence required on Tuesdays)     Job Duration: 3-6 Months         Role Overview        	   The person in this role will plan and execute high-visibility events and special projects for client university.       	   Projects may include twice-annual nutrition council meetings and donor stewardship videos and re...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378237,1,Metasys Technologies Inc
Power Platform Developer,$10-15/hour,08/26/2025,25-10476,"Power Platform Developer   Bangalore, India-(Remote)   6+ Month Contract         Client is seeking an experienced Power Platform Developer to implement enterprise solutions using Microsoft's Power Platform as per defined standards. This role requires hands-on experience delivering real-world implementations across Power Apps, Power Automate, Power BI. The ideal candidate will possess a strong tech...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378238,1,Metasys Technologies Inc
ControlM Integration Consultant,$40-50/hour,08/26/2025,25-10475,"ControlM Integration Consultant    12+Month Contract    Phoenix, AZ (onsite)        Responsibilitues:           	   Participate in enterprise integration design sessions and provide Control‐M expertise to ensure alignment of batch workflows with overall solution architecture.      	   Collaborate with APS and application teams to review and validate technical specifications, ensuring Control...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378238,1,Metasys Technologies Inc
Quality Assurance Verification Assistant Manager,"$100,000-125,000/year",08/26/2025,25-10474,"Quality Assurance Verification Assistant Manager    Ellabell, GA (onsite)    Perm Role        As a Quality Assurance Verification Assistant Manager, you will be responsible for implementing and maintaining quality management systems, ensuring compliance with ISO9001 standards, and driving a culture of continuous improvement across the organization.              Responsibilities        	  Implement...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378239,1,Metasys Technologies Inc
Mail & Package Associate,$19.50/hour,08/26/2025,25-10473,"Candidates who receive an offer will be required to successfully complete a background check and drug test as a condition of employment.  Mail & Package Associate   Bellevue, WA,98004   9:00 am - 4:00 pm   6 months (Temp to hire)    ​Position is primarily receiving packages and delivering to local mail stops (walking distance, up a flight of stairs). Candidate should be able to manage stairs...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378240,1,Metasys Technologies Inc
Sr. Project Manager,$60-70/hour,08/26/2025,25-10471,"Sr. Project Manager   Location: Must be somewhat local to NCAL to travel in at least once a month, Oakland CA   Duration: 6 Months         The immediate need is for someone who can be the PM on the Enterprise Estimating System (EES), which will be undergoing major changes over the next three years. The application is used by about 1400 Gas and Electric Distribution designers to do everything betwe...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378240,1,Metasys Technologies Inc
Tax Accountant / Tax Manager – Public Accounting Services,"$0-100,000/year",08/26/2025,25-10470,"Tax Accountant / Tax Manager – Public Accounting Services   Full-Time | Permanent | Hybrid   Location Options: Chicago, IL | Kansas City, MO | St. Louis, MO | Las Vegas, NV | Nashville, TN | Denver, CO   Typical Hours: Monday–Friday, 8:00 AM – 5:00 PM         Join a highly collaborative Tax Services team supporting one of the most innovative and respected public accounting firms ...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378241,1,Metasys Technologies Inc
Mail/Finishing Level 2,$19/hour,08/26/2025,25-10469,"Candidates who receive an offer will be required to successfully complete a background check and drug test as a condition of employment.      Mailroom Operator   12+ Months Project   8:00 AM - 4:30 PM   Minneapolis, MN(onsite)      Job Description: The Mailroom Operator is responsible for operating high-level mail equipment, including mail inserters, sorters, finishing equipment, and specialized s...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378242,1,Metasys Technologies Inc
Delivery Ops - Print Production Level 1 - SCA only,$17.24/hour,08/26/2025,25-10477,Candidates who receive an offer will be required to successfully complete a background check and drug test as a condition of employment.      Delivery Ops - Print Production Level 1 - SCA only   Carson City NV 89701   12 Months Contract   Monday to Friday 8:00am to 5:00pm   Note- Candidate will receive a bonus of $4.80/Hour along with a pay rate    ESSENTIAL FUNCTIONS:      	  	Possesses skills an...,https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378242,1,Metasys Technologies Inc
Legal Office Coordinator,$20/hour,08/25/2025,25-10467,"Candidates who receive an offer will be required to successfully complete a background check and drug test as a condition of employment.    Legal Office Coordinator     San Diego, CA 92101​     04 months contract (temp to perm)    M-F (8:30 AM - 5:30 PM)       Overview    Supports daily operations in a professional office environment. Duties include high-volume copying, scanning, mail and su...",https://www2.jobdiva.com/portal/?a=bpjdnwgu38j84sabghlw7x9mmxinki0297vano3tk7rjth7i2es8ayn8uhi63zh7&compid=0&hsutk=a21b1eff3de09c5127048f7b8eb4f84e&contentType=standard-page&pageId=10502537135#/,2025-08-27T15:51:46.378243,1,Metasys Technologies Inc
