title,date,jobId,location,description,url,scraped_at,page_number,Contractor
Systems Analyst 3,08/27/2025,25-01500,"Austin, TX","***Position is 40% Remote in Austin, TX. Position will be 2 days (Wednesdays and Fridays) remote with 3 days (Mondays, Tuesdays, Thursdays) required to be onsite.      Program will only allow candidates who are LOCAL TO THE AUSTIN AREA ONLY.      I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 Systems Analyst 3, hereafter referred to as Candidate(s), who meets the general q...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016414,1,Intellectual Capitol Inc.
Systems Analyst 3,08/27/2025,25-01499,"Austin, TX","***Position is 40% Remote in Austin, TX. 2 days remote with 3 days (Mon, Tues & Thurs) required to be ONSITE.***  Program will only allow candidates who are LOCAL TO THE AUSTIN AREA ONLY (Within 50-mile radius).  I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 Systems Analyst 3, hereafter referred to as Candidate(s), who meets the general qualifications of Systems Analyst 3,...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016420,1,Intellectual Capitol Inc.
Systems Analyst 3,08/27/2025,25-01497,"Austin, TX","***Position is 40% Remote in Austin, TX. Position will be 2 days remote with 3 days (Mon, Tues & Thurs) required to be ONSITE.***      Program will only allow candidates who are LOCAL TO THE AUSTIN AREA ONLY (Within 50-mile radius).      I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 Systems Analyst 3, hereafter referred to as Candidate(s), who meets the general qualif...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016421,1,Intellectual Capitol Inc.
QA Engineer Automated 2,08/26/2025,25-01495,N/A,"***Position is 100% Remote within the United States***      I. DESCRIPTION OF SERVICES   The Agency requires the services of 2 QA Engineer Automated 2, hereafter referred to as Candidate(s), who meets the general qualifications of QA Engineer Automated 2, Quality Assurance (QA) and Testing and the specifications outlined below for the Agency.      Description of Services:   The Software QA Enginee...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016422,1,Intellectual Capitol Inc.
Developer/Programmer Analyst 3,08/26/2025,25-01494,N/A,"***Position is 100% Remote within the United States***      I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 Developer/Programmer Analyst 3, hereafter referred to as Candidate(s), who meets the general qualifications of Developer/Programmer Analyst 3, Applications/Software Development and the specifications outlined below for the Agency.      Overview:   We are seeking a highly e...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016423,1,Intellectual Capitol Inc.
Developer/Programmer Analyst 3,08/26/2025,25-01493,N/A,"***Position is 90% Remote in Austin, TX***      I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 Developer/Programmer Analyst 3, hereafter referred to as Candidate(s), who meets the general qualifications of Developer/Programmer Analyst 3, Applications/Software Development and the specifications outlined below for the Agency.      The Senior Full-stack Developer will perform adva...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016424,1,Intellectual Capitol Inc.
IT Healthcare Consultant - Business Analyst,08/26/2025,25-01491,"Columbia, SC","***Position is Hybrid in Columbia, SC. 4 days Onsite & 1 day Remote.***        SCOPE OF THE PROJECT:    The Agency is undertaking a multi-year Medicaid Enterprise System (MES) Modernization effort to replace the State's aging MMIS and related applications with more modern capabilities along with corresponding business operations services. The MES Modernization effort will be incremental and modula...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016424,1,Intellectual Capitol Inc.
Security Architect - Advanced,08/25/2025,25-01487,"Columbia, SC","***Position is 60% Remote in Columbia, SC. The first month will be fully onsite (5 days/week) and then move to 3 days in office/2 remote after the first month.***      Position Overview:   We're seeking a proactive and detail-oriented Information Security Officer to lead the implementation of security policies and procedures across our organization. This role is critical in shaping our securit...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016425,1,Intellectual Capitol Inc.
Project Manager 3,08/22/2025,25-01482,"Austin, TX","***Position is 40% Remote in Austin, TX.  2 days remote & 3 days (Tuesdays, Wednesdays, Thursdays) required to be onsite. Program will only accept LOCAL ONLY candidates for this position***      Project Management Professional (PMP) certification is required and should be noted on the resume. Proof of certification may be requested.      I. DESCRIPTION OF SERVICES   The Agency requires th...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016426,1,Intellectual Capitol Inc.
Enterprise Architect 3,08/22/2025,25-01481,"Austin, TX","***Position is 60% Remote in Austin, TX . 3 days remote & 2 days (Mondays, Tuesdays) required to be onsite. Program will only accept LOCAL ONLY candidates for this position.***      I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 Enterprise Architect 3, hereafter referred to as Candidate(s), who meets the general qualifications of Enterprise Architect 3, Applications/So...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016427,1,Intellectual Capitol Inc.
ERP Developer 3,08/21/2025,25-01479,"Austin, TX","***Position is 80% Remote in Austin, TX: 4 days remote with 1 day (Wednesdays) required to be onsite***      Program will only allow candidates who are LOCAL TO THE AUSTIN AREA ONLY (Within 50-mile radius).      I. DESCRIPTION OF SERVICES   The Agency requires the services of 1 ERP Developer 3, hereafter referred to as Candidate(s), who meets the general qualifications of ERP Developer 3, Applicat...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016427,1,Intellectual Capitol Inc.
CRM Consultant,08/08/2025,25-01436,"Columbia, SC","***Position is 25% Remote in Columbia, SC. 3-4 days/ week will be Onsite.***      Job Description:   The Agency is in need of a CRM Consultant with specific CRM knowledge to help the Agency decide whether to keep their current CRM or switch to a new CRM.       The CRM Consultant should specialize in assisting businesses enhance their relationships with customers by leveraging CRM (Customer Relatio...",https://www1.jobdiva.com/portal/?a=cbjdnw0lxxfznplr0wz0a77kca9qq807dbe4lq2hhmpjl9udsyacdf4tx5nqvnq5&compid=0#/,2025-08-27T15:40:23.016428,1,Intellectual Capitol Inc.
